item_nbr,total_sales,std_sales,mean_sales,cumulative_pct,ABC,cv,XYZ,ABC_XYZ
1503844,6.2642e+06,203.16805,227.93,0.5834706,A,0.8913616,Y,AY
1047679,5.512875e+06,117.82639,68.30219,1.09696,A,1.7250748,Z,AZ
1473474,4.9903225e+06,120.06493,103.88497,1.561777,A,1.1557488,Z,AZ
364606,4.416426e+06,46.869328,53.01323,1.9731392,A,0.8841063,Y,AY
819932,4.410943e+06,70.21643,58.69987,2.3839905,A,1.1961939,Z,AZ
1463992,4.408545e+06,110.223,88.715614,2.7946186,A,1.2424307,Z,AZ
807493,4.321424e+06,65.02678,54.095562,3.197132,A,1.2020724,Z,AZ
265559,4.112827e+06,91.9409,49.52409,3.580216,A,1.8564885,Z,AZ
502331,3.70335e+06,29.715693,44.36478,3.9251592,A,0.6698037,Y,AY
314384,3.544341e+06,37.041393,42.47263,4.2552924,A,0.87212384,Y,AY
559870,3.53272e+06,91.98514,42.814102,4.5843425,A,2.1484776,Z,AZ
1143685,3.499093e+06,68.33933,51.68451,4.9102607,A,1.3222401,Z,AZ
584028,3.252203e+06,75.795845,77.96804,5.2131834,A,0.97213995,Y,AY
1167614,3.222418e+06,128.49173,97.00819,5.5133314,A,1.3245453,Z,AZ
1430040,2.975535e+06,133.13226,73.12514,5.7904835,A,1.8206087,Z,AZ
364738,2.940762e+06,63.08155,40.7257,6.064397,A,1.5489372,Z,AZ
1463993,2.850889e+06,97.859436,72.56756,6.329939,A,1.3485287,Z,AZ
584126,2.6892962e+06,109.35781,67.957855,6.5804296,A,1.6092005,Z,AZ
320682,2.670201e+06,41.268913,36.65945,6.8291416,A,1.1257373,Z,AZ
903285,2.648742e+06,67.13165,40.77748,7.0758557,A,1.6462923,Z,AZ
1463860,2.585332e+06,46.323895,49.784943,7.3166633,A,0.93048,Y,AY
1463810,2.544516e+06,75.94148,61.49442,7.5536685,A,1.2349329,Z,AZ
1695835,2.527146e+06,78.77416,73.446465,7.789056,A,1.0725385,Z,AZ
1052563,2.444486e+06,30.820974,30.580156,8.016745,A,1.007875,Z,AZ
1463814,2.408089e+06,74.63507,57.7909,8.241042,A,1.2914675,Z,AZ
261052,2.403946e+06,38.593445,29.397436,8.464954,A,1.3128167,Z,AZ
839362,2.358256e+06,70.014755,29.85361,8.684611,A,2.3452694,Z,AZ
564533,2.321202e+06,27.543024,28.277685,8.900817,A,0.97401977,Y,AY
1146786,2.297889e+06,57.05211,30.715923,9.11485,A,1.8574115,Z,AZ
1162382,2.269314e+06,65.06291,31.420498,9.326222,A,2.0707154,Z,AZ
903284,2.2392072e+06,53.919,31.980452,9.53479,A,1.6859987,Z,AZ
457928,2.2254502e+06,37.293472,30.540844,9.742077,A,1.2211015,Z,AZ
220435,2.167635e+06,47.00655,29.414795,9.943978,A,1.5980581,Z,AZ
1464086,2.134704e+06,35.835293,41.73093,10.142812,A,0.85872257,Y,AY
582864,2.1346868e+06,48.18854,51.18662,10.341645,A,0.9414285,Y,AY
1473410,2.1152228e+06,49.33779,45.351147,10.538665,A,1.0879061,Z,AZ
1047690,2.113502e+06,41.77893,27.604744,10.735524,A,1.5134692,Z,AZ
159156,2.1076365e+06,53.251038,51.623596,10.931837,A,1.0315251,Z,AZ
1503847,2.0741106e+06,72.37427,76.93574,11.125029,A,0.94071066,Y,AY
315176,2.04525e+06,35.033466,26.580675,11.31553,A,1.3180051,Z,AZ
273528,2.04103e+06,24.800722,24.85787,11.505639,A,0.997701,Y,AY
414750,1.978341e+06,33.590908,24.396555,11.68991,A,1.376871,Z,AZ
215352,1.970619e+06,26.916693,25.028183,11.87346,A,1.0754553,Z,AZ
968432,1.943481e+06,41.906433,27.995981,12.054482,A,1.4968731,Z,AZ
1463855,1.939965e+06,40.164314,37.41711,12.235178,A,1.073421,Z,AZ
1642399,1.9380681e+06,96.38667,73.91564,12.415697,A,1.3040092,Z,AZ
1427659,1.932737e+06,48.07017,38.376892,12.59572,A,1.2525811,Z,AZ
414353,1.929953e+06,33.406406,23.606544,12.775484,A,1.4151332,Z,AZ
1463862,1.92416e+06,40.821487,37.98634,12.954706,A,1.074636,Z,AZ
305080,1.893822e+06,68.33944,45.67829,13.131104,A,1.4961033,Z,AZ
841842,1.891177e+06,160.56238,23.516544,13.307256,A,6.827635,Z,AZ
1158720,1.847559e+06,84.68477,28.500278,13.479344,A,2.9713664,Z,AZ
257847,1.826579e+06,68.763306,28.400955,13.649479,A,2.4211617,Z,AZ
903286,1.7935659e+06,42.449894,37.421307,13.816537,A,1.1343776,Z,AZ
1036689,1.753604e+06,24.6495,21.350525,13.979875,A,1.1545149,Z,AZ
1693648,1.7508532e+06,34.12138,36.44574,14.142954,A,0.9362241,Y,AY
464374,1.735006e+06,35.609695,24.496738,14.304559,A,1.4536505,Z,AZ
1157329,1.729157e+06,116.30223,24.028084,14.46562,A,4.8402624,Z,AZ
1146795,1.699167e+06,19.837702,21.561665,14.623886,A,0.920045,Y,AY
1463881,1.69436e+06,35.034046,33.87162,14.781705,A,1.0343186,Z,AZ
1473482,1.6820916e+06,36.67601,35.191673,14.938381,A,1.0421786,Z,AZ
1074327,1.669603e+06,36.537594,25.176094,15.093893,A,1.4512813,Z,AZ
1047685,1.660398e+06,27.785072,20.798653,15.2485485,A,1.3359073,Z,AZ
564287,1.65396e+06,22.159182,21.834167,15.402605,A,1.0148855,Z,AZ
964752,1.626516e+06,26.279896,21.218655,15.554103,A,1.2385279,Z,AZ
621300,1.604648e+06,19.279816,20.181967,15.703567,A,0.95529914,Y,AY
1584575,1.58785e+06,60.8846,44.05677,15.851466,A,1.3819579,Z,AZ
1473404,1.584543e+06,67.456024,82.19437,15.999057,A,0.82068914,Y,AY
1146496,1.574563e+06,57.12442,39.279625,16.145716,A,1.4543016,Z,AZ
265254,1.568426e+06,19.049969,19.713503,16.291805,A,0.96634114,Y,AY
