item_nbr,store_nbr,mae,mean_sales,mae_pct,safety_stock,reorder_point,eoq,ABC,XYZ,ABC_XYZ,family,perishable,unit_price,daily_revenue,revenue_at_risk,annual_revenue,annual_revenue_at_risk,stockout_prob,daily_stockout_cost,annual_stockout_cost,current_stock,alert,alert_urgency
105574,1,2.14,5.68,37.6,13,53,322,A,Z,AZ,GROCERY I,0,2.5,14.2,5.3500000000000005,5183.0,1952.7500000000002,0.18,2.5559999999999996,932.9399999999998,45.0,True,Reorder Now
105575,1,3.48,10.2,34.1,24,95,431,A,Z,AZ,GROCERY I,0,2.5,25.5,8.7,9307.5,3175.4999999999995,0.18,4.59,1675.35,146.0,False,OK
105857,1,2.8,5.26,53.3,14,50,310,A,Z,AZ,GROCERY I,0,2.5,13.149999999999999,7.0,4799.749999999999,2555.0,0.18,2.3669999999999995,863.9549999999998,64.0,False,OK
106716,1,1.51,3.1,48.5,7,29,238,A,Y,AY,GROCERY I,0,2.5,7.75,3.775,2828.75,1377.875,0.08,0.62,226.3,32.0,False,OK
108786,1,1.43,2.64,54.2,8,26,219,A,Z,AZ,CLEANING,0,4.0,10.56,5.72,3854.4,2087.7999999999997,0.18,1.9008,693.792,15.0,True,Reorder Now
108797,1,1.69,3.06,55.2,11,32,236,A,Z,AZ,GROCERY I,0,2.5,7.65,4.225,2792.25,1542.1249999999998,0.18,1.377,502.605,19.0,True,Reorder Now
111223,1,3.1,6.98,44.4,18,67,357,A,Z,AZ,GROCERY I,0,2.5,17.450000000000003,7.75,6369.250000000001,2828.75,0.18,3.1410000000000005,1146.4650000000001,31.0,True,Critical
111397,1,1.71,2.94,58.3,14,34,232,A,Z,AZ,GROCERY I,0,2.5,7.35,4.275,2682.75,1560.3750000000002,0.18,1.323,482.895,49.0,False,OK
114790,1,2.8,2.89,96.7,6,27,230,A,Z,AZ,GROCERY I,0,2.5,7.2250000000000005,7.0,2637.125,2555.0,0.18,1.3005,474.6825,30.0,False,OK
114799,1,0.64,1.53,42.0,3,13,167,A,Z,AZ,PERSONAL CARE,0,5.0,7.65,3.2,2792.25,1168.0,0.18,1.377,502.605,16.0,False,OK
114800,1,2.87,4.02,71.4,16,44,271,A,Z,AZ,PERSONAL CARE,0,5.0,20.099999999999998,14.350000000000001,7336.499999999999,5237.750000000001,0.18,3.6179999999999994,1320.5699999999997,19.0,True,Critical
115267,1,1.96,2.95,66.4,13,34,232,A,Z,AZ,CLEANING,0,4.0,11.8,7.84,4307.0,2861.6,0.18,2.124,775.26,53.0,False,OK
115611,1,3.86,7.69,50.2,18,72,375,A,Z,AZ,GROCERY I,0,2.5,19.225,9.65,7017.125000000001,3522.25,0.18,3.4605,1263.0825,101.0,False,OK
115720,1,1.42,2.22,64.2,6,22,201,A,Z,AZ,GROCERY I,0,2.5,5.550000000000001,3.55,2025.7500000000002,1295.75,0.18,0.9990000000000001,364.63500000000005,14.0,True,Reorder Now
115850,1,1.85,3.77,49.0,10,36,262,A,Z,AZ,GROCERY I,0,2.5,9.425,4.625,3440.1250000000005,1688.125,0.18,1.6965000000000001,619.2225000000001,22.0,True,Reorder Now
115891,1,1.59,3.11,51.0,10,32,238,A,Y,AY,GROCERY I,0,2.5,7.7749999999999995,3.975,2837.875,1450.875,0.08,0.622,227.03,20.0,True,Reorder Now
115892,1,2.6,4.26,61.1,15,45,279,A,Z,AZ,GROCERY I,0,2.5,10.649999999999999,6.5,3887.2499999999995,2372.5,0.18,1.9169999999999996,699.7049999999998,34.0,True,Reorder Now
115893,1,4.04,6.24,64.7,23,67,337,A,Z,AZ,GROCERY I,0,2.5,15.600000000000001,10.1,5694.000000000001,3686.5,0.18,2.8080000000000003,1024.92,69.0,False,OK
115894,1,1.88,4.38,43.0,11,41,283,A,Z,AZ,GROCERY I,0,2.5,10.95,4.699999999999999,3996.7499999999995,1715.4999999999998,0.18,1.9709999999999999,719.415,38.0,True,Reorder Now
116017,1,2.89,4.81,60.1,14,48,296,A,Z,AZ,GROCERY I,0,2.5,12.024999999999999,7.2250000000000005,4389.124999999999,2637.125,0.18,2.1645,790.0424999999999,36.0,True,Reorder Now
116018,1,2.36,3.65,64.6,10,36,258,A,Z,AZ,GROCERY I,0,2.5,9.125,5.8999999999999995,3330.625,2153.5,0.18,1.6424999999999998,599.5124999999999,41.0,False,OK
119026,1,6.21,12.02,51.7,39,123,468,A,Z,AZ,CLEANING,0,4.0,48.08,24.84,17549.2,9066.6,0.18,8.654399999999999,3158.8559999999998,70.0,True,Reorder Now
119141,1,3.71,6.59,56.3,23,69,347,A,Z,AZ,GROCERY I,0,2.5,16.475,9.275,6013.375000000001,3385.375,0.18,2.9655,1082.4075,52.0,True,Reorder Now
119624,1,3.42,5.98,57.2,21,63,330,A,Z,AZ,BEVERAGES,0,3.0,17.94,10.26,6548.1,3744.9,0.18,3.2292,1178.6580000000001,53.0,True,Reorder Now
123347,1,1.07,2.07,51.8,5,20,195,A,Y,AY,DAIRY,1,2.2,4.554,2.3540000000000005,1662.21,859.2100000000002,0.08,0.36432000000000003,199.46520000000004,19.0,True,Reorder Now
123601,1,1.16,2.3,50.4,6,22,205,A,Z,AZ,GROCERY I,0,2.5,5.75,2.9,2098.75,1058.5,0.18,1.035,377.775,30.0,False,OK
125430,1,2.61,4.29,60.8,11,41,280,A,Z,AZ,GROCERY I,0,2.5,10.725,6.5249999999999995,3914.625,2381.625,0.18,1.9304999999999999,704.6324999999999,26.0,True,Reorder Now
129296,1,1.12,1.52,73.8,4,15,167,A,Y,AY,GROCERY I,0,2.5,3.8,2.8000000000000003,1387.0,1022.0000000000001,0.08,0.304,110.96,15.0,True,Reorder Now
129297,1,1.49,2.48,60.1,7,24,213,A,Z,AZ,GROCERY I,0,2.5,6.2,3.725,2263.0,1359.625,0.18,1.1159999999999999,407.34,27.0,False,OK
129635,1,3.61,12.13,29.8,20,105,471,A,Z,AZ,DAIRY,1,2.2,26.686000000000003,7.942,9740.390000000001,2898.83,0.18,4.80348,2629.9053000000004,48.0,True,Critical
129758,1,1.61,2.15,74.8,7,22,198,A,Y,AY,GROCERY I,0,2.5,5.375,4.025,1961.875,1469.1250000000002,0.08,0.43,156.95,25.0,False,OK
153239,1,1.48,2.83,52.3,8,28,227,A,Y,AY,BREAD/BAKERY,1,1.5,4.245,2.2199999999999998,1549.425,810.3,0.08,0.3396,185.931,17.0,True,Reorder Now
153267,1,3.36,6.74,49.8,19,66,351,A,Z,AZ,GROCERY I,0,2.5,16.85,8.4,6150.250000000001,3066.0,0.18,3.0330000000000004,1107.045,32.0,True,Critical
153398,1,1.74,1.88,92.5,5,18,185,A,Y,AY,BREAD/BAKERY,1,1.5,2.82,2.61,1029.3,952.65,0.08,0.2256,123.51599999999999,28.0,False,OK
158680,1,1.02,2.28,45.0,5,21,204,A,Z,AZ,EGGS,1,2.0,4.56,2.04,1664.3999999999999,744.6,0.18,0.8207999999999999,449.3879999999999,33.0,False,OK
158788,1,1.54,2.5,61.8,7,25,214,A,Z,AZ,CLEANING,0,4.0,10.0,6.16,3650.0,2248.4,0.18,1.7999999999999998,656.9999999999999,34.0,False,OK
158789,1,2.36,2.38,99.5,8,25,208,A,Z,AZ,CLEANING,0,4.0,9.52,9.44,3474.7999999999997,3445.6,0.18,1.7135999999999998,625.4639999999999,19.0,True,Reorder Now
158956,1,2.1,3.12,67.3,9,31,239,A,Y,AY,CLEANING,0,4.0,12.48,8.4,4555.2,3066.0,0.08,0.9984000000000001,364.416,16.0,True,Reorder Now
159156,1,7.92,14.43,54.9,46,147,513,A,Z,AZ,POULTRY,1,6.0,86.58,47.519999999999996,31601.7,17344.8,0.18,15.584399999999999,8532.458999999999,179.0,False,OK
159242,1,1.88,3.37,55.9,12,35,248,A,Z,AZ,CLEANING,0,4.0,13.48,7.52,4920.2,2744.7999999999997,0.18,2.4264,885.6360000000001,32.0,True,Reorder Now
162066,1,3.56,4.63,76.8,21,54,291,A,Z,AZ,GROCERY I,0,2.5,11.575,8.9,4224.875,3248.5,0.18,2.0835,760.4775,30.0,True,Reorder Now
164036,1,2.21,5.07,43.5,12,47,304,A,Z,AZ,GROCERY I,0,2.5,12.675,5.525,4626.375,2016.6250000000002,0.18,2.2815,832.7475,47.0,True,Reorder Now
164088,1,1.44,2.88,50.1,7,27,229,A,Y,AY,DAIRY,1,2.2,6.336,3.168,2312.6400000000003,1156.3200000000002,0.08,0.50688,277.5168,12.0,True,Critical
164647,1,2.25,2.76,81.7,8,27,224,A,Z,AZ,CLEANING,0,4.0,11.04,9.0,4029.6,3285.0,0.18,1.9871999999999999,725.328,40.0,False,OK
165550,1,1.91,2.45,77.9,9,26,211,A,Z,AZ,BEVERAGES,0,3.0,7.3500000000000005,5.7299999999999995,2682.75,2091.45,0.18,1.323,482.895,18.0,True,Reorder Now
165551,1,2.34,2.79,84.0,9,29,225,A,Z,AZ,BEVERAGES,0,3.0,8.370000000000001,7.02,3055.05,2562.2999999999997,0.18,1.5066000000000002,549.9090000000001,35.0,False,OK
165594,1,2.26,6.83,33.1,13,61,353,A,Z,AZ,GROCERY I,0,2.5,17.075,5.6499999999999995,6232.375,2062.25,0.18,3.0734999999999997,1121.8274999999999,47.0,True,Reorder Now
165693,1,1.61,4.46,36.0,10,41,285,A,Z,AZ,GROCERY I,0,2.5,11.15,4.025,4069.75,1469.1250000000002,0.18,2.007,732.5550000000001,42.0,False,OK
165704,1,2.74,7.21,38.1,17,67,363,A,Z,AZ,GROCERY I,0,2.5,18.025,6.8500000000000005,6579.124999999999,2500.25,0.18,3.2444999999999995,1184.2424999999998,71.0,False,OK
165718,1,1.77,2.41,73.3,8,25,210,A,Z,AZ,BREAD/BAKERY,1,1.5,3.615,2.6550000000000002,1319.4750000000001,969.075,0.18,0.6507000000000001,356.25825000000003,16.0,True,Reorder Now
165988,1,2.42,5.43,44.5,14,52,315,A,Z,AZ,GROCERY I,0,2.5,13.575,6.05,4954.875,2208.25,0.18,2.4435,891.8774999999999,81.0,False,OK
168927,1,4.48,11.57,38.7,23,104,459,A,Y,AY,CLEANING,0,4.0,46.28,17.92,16892.2,6540.8,0.08,3.7024000000000004,1351.3760000000002,138.0,False,OK
168930,1,3.8,11.37,33.5,26,105,456,A,Y,AY,CLEANING,0,4.0,45.48,15.2,16600.199999999997,5548.0,0.08,3.6384,1328.0159999999998,160.0,False,OK
170791,1,2.81,7.41,37.9,18,70,368,A,Z,AZ,GROCERY I,0,2.5,18.525,7.025,6761.624999999999,2564.125,0.18,3.3345,1217.0925,103.0,False,OK
172184,1,1.35,2.07,65.1,7,22,194,A,Z,AZ,GROCERY I,0,2.5,5.175,3.375,1888.875,1231.875,0.18,0.9314999999999999,339.99749999999995,25.0,False,OK
172343,1,0.96,1.97,48.7,4,18,190,A,Z,AZ,GROCERY I,0,2.5,4.925,2.4,1797.625,876.0,0.18,0.8865,323.5725,27.0,False,OK
173111,1,1.54,2.31,66.9,6,22,205,A,Z,AZ,GROCERY I,0,2.5,5.775,3.85,2107.875,1405.25,0.18,1.0395,379.4175,11.0,True,Critical
177395,1,1.14,2.16,52.6,7,22,199,A,Y,AY,GROCERY I,0,2.5,5.4,2.8499999999999996,1971.0000000000002,1040.2499999999998,0.08,0.43200000000000005,157.68,14.0,True,Reorder Now
179274,1,2.06,4.38,47.1,11,42,283,A,Y,AY,GROCERY I,0,2.5,10.95,5.15,3996.7499999999995,1879.7500000000002,0.08,0.876,319.74,19.0,True,Critical
179615,1,2.41,7.47,32.2,15,68,369,A,Z,AZ,DAIRY,1,2.2,16.434,5.3020000000000005,5998.410000000001,1935.2300000000002,0.18,2.95812,1619.5707,54.0,True,Reorder Now
205387,1,1.42,2.32,61.1,7,23,206,A,Z,AZ,GROCERY I,0,2.5,5.8,3.55,2117.0,1295.75,0.18,1.044,381.06,20.0,True,Reorder Now
207857,1,6.03,7.93,76.0,39,94,380,A,Z,AZ,GROCERY I,0,2.5,19.825,15.075000000000001,7236.125,5502.375,0.18,3.5685,1302.5024999999998,68.0,True,Reorder Now
208384,1,10.79,14.6,73.9,62,164,516,A,Z,AZ,EGGS,1,2.0,29.2,21.58,10658.0,7876.7,0.18,5.255999999999999,2877.66,229.0,False,OK
208386,1,1.14,2.4,47.3,6,23,209,A,Z,AZ,EGGS,1,2.0,4.8,2.28,1752.0,832.1999999999999,0.18,0.864,473.04,19.0,True,Reorder Now
208514,1,0.96,1.89,50.6,5,18,186,A,Y,AY,GROCERY I,0,2.5,4.725,2.4,1724.6249999999998,876.0,0.08,0.378,137.97,13.0,True,Reorder Now
209085,1,1.57,2.52,62.2,8,25,215,A,Y,AY,CLEANING,0,4.0,10.08,6.28,3679.2,2292.2000000000003,0.08,0.8064,294.336,26.0,False,OK
