item_nbr,store_nbr,mae,mean_sales,mae_pct,safety_stock,reorder_point,eoq
105574,1,2.14,5.68,37.6,13,53,322
105575,1,3.48,10.2,34.1,24,95,431
105857,1,2.8,5.26,53.3,14,50,310
106716,1,1.51,3.1,48.5,7,29,238
108786,1,1.43,2.64,54.2,8,26,219
108797,1,1.69,3.06,55.2,11,32,236
111223,1,3.1,6.98,44.4,18,67,357
111397,1,1.71,2.94,58.3,14,34,232
114790,1,2.8,2.89,96.7,6,27,230
114799,1,0.64,1.53,42.0,3,13,167
114800,1,2.87,4.02,71.4,16,44,271
115267,1,1.96,2.95,66.4,13,34,232
115611,1,3.86,7.69,50.2,18,72,375
115720,1,1.42,2.22,64.2,6,22,201
115850,1,1.85,3.77,49.0,10,36,262
115891,1,1.59,3.11,51.0,10,32,238
115892,1,2.6,4.26,61.1,15,45,279
115893,1,4.04,6.24,64.7,23,67,337
115894,1,1.88,4.38,43.0,11,41,283
116017,1,2.89,4.81,60.1,14,48,296
116018,1,2.36,3.65,64.6,10,36,258
119026,1,6.21,12.02,51.7,39,123,468
119141,1,3.71,6.59,56.3,23,69,347
119624,1,3.42,5.98,57.2,21,63,330
123347,1,1.07,2.07,51.8,5,20,195
123601,1,1.16,2.3,50.4,6,22,205
125430,1,2.61,4.29,60.8,11,41,280
129296,1,1.12,1.52,73.8,4,15,167
129297,1,1.49,2.48,60.1,7,24,213
129635,1,3.61,12.13,29.8,20,105,471
129758,1,1.61,2.15,74.8,7,22,198
153239,1,1.48,2.83,52.3,8,28,227
153267,1,3.36,6.74,49.8,19,66,351
153398,1,1.74,1.88,92.5,5,18,185
158680,1,1.02,2.28,45.0,5,21,204
158788,1,1.54,2.5,61.8,7,25,214
158789,1,2.36,2.38,99.5,8,25,208
158956,1,2.1,3.12,67.3,9,31,239
159156,1,7.92,14.43,54.9,46,147,513
159242,1,1.88,3.37,55.9,12,35,248
162066,1,3.56,4.63,76.8,21,54,291
164036,1,2.21,5.07,43.5,12,47,304
164088,1,1.44,2.88,50.1,7,27,229
164647,1,2.25,2.76,81.7,8,27,224
165550,1,1.91,2.45,77.9,9,26,211
165551,1,2.34,2.79,84.0,9,29,225
165594,1,2.26,6.83,33.1,13,61,353
165693,1,1.61,4.46,36.0,10,41,285
165704,1,2.74,7.21,38.1,17,67,363
165718,1,1.77,2.41,73.3,8,25,210
165988,1,2.42,5.43,44.5,14,52,315
168927,1,4.48,11.57,38.7,23,104,459
168930,1,3.8,11.37,33.5,26,105,456
170791,1,2.81,7.41,37.9,18,70,368
172184,1,1.35,2.07,65.1,7,22,194
172343,1,0.96,1.97,48.7,4,18,190
173111,1,1.54,2.31,66.9,6,22,205
177395,1,1.14,2.16,52.6,7,22,199
179274,1,2.06,4.38,47.1,11,42,283
179615,1,2.41,7.47,32.2,15,68,369
205387,1,1.42,2.32,61.1,7,23,206
207857,1,6.03,7.93,76.0,39,94,380
208384,1,10.79,14.6,73.9,62,164,516
208386,1,1.14,2.4,47.3,6,23,209
208514,1,0.96,1.89,50.6,5,18,186
209085,1,1.57,2.52,62.2,8,25,215
210798,1,1.69,3.23,52.3,11,34,243
211203,1,3.5,8.93,39.1,21,83,404
211205,1,1.37,2.87,47.6,7,27,229
212552,1,1.33,2.0,66.6,7,21,191
213066,1,1.54,3.34,46.1,10,33,247
213652,1,5.52,7.51,73.6,50,103,370
213788,1,1.09,2.23,48.9,6,22,202
214381,1,2.2,3.96,55.7,14,42,269
214859,1,2.38,3.57,66.7,10,35,255
214860,1,1.72,2.92,58.8,10,30,231
214862,1,1.21,2.48,48.9,6,23,213
215303,1,0.84,1.67,50.1,4,16,174
215327,1,1.57,2.36,66.7,8,24,207
215331,1,2.16,4.69,46.1,12,45,292
215332,1,1.81,3.84,47.1,9,36,265
215352,1,5.55,9.39,59.2,23,89,414
215356,1,2.66,4.17,63.8,18,48,276
215370,1,1.41,2.39,59.0,6,23,209
215896,1,3.79,6.08,62.4,21,64,333
219147,1,1.71,3.56,48.1,10,35,255
219150,1,3.91,8.89,44.0,23,86,403
219152,1,0.85,1.83,46.2,6,19,183
220435,1,3.2,8.47,37.8,19,79,393
222879,1,2.29,5.6,40.8,12,51,320
222975,1,2.29,3.97,57.6,14,42,269
223136,1,2.46,3.61,68.2,13,38,257
223434,1,0.92,2.33,39.7,5,21,206
226126,1,2.08,3.1,67.2,13,35,238
226857,1,4.13,6.43,64.3,19,64,343
252970,1,1.73,4.9,35.4,10,44,299
252972,1,2.86,4.14,69.1,10,39,275
255161,1,1.34,1.2,111.3,2,10,148
257847,1,7.77,5.0,155.4,16,51,302
257848,1,2.87,5.43,52.9,22,60,315
258268,1,2.21,5.23,42.2,12,49,309
258376,1,2.06,3.4,60.7,10,34,249
258396,1,2.49,6.52,38.2,14,60,345
258411,1,1.14,2.44,46.9,6,23,211
261052,1,2.96,7.41,39.9,14,66,368
261053,1,12.3,23.97,51.3,92,260,661
261700,1,1.44,2.85,50.6,8,28,228
262991,1,3.04,3.89,78.1,11,38,266
